time,latitude,longitude,depth,mag,,
2020-05-01T01:01:02.309Z,-24.034,-66.9969,168.16,4.8,,
2020-04-30T22:10:31.558Z,-24.0112,-66.93,164.35,5.4,,
2020-04-30T21:23:21.830Z,-2.3984,138.7274,58.9,5.1,,
2020-04-30T18:57:44.903Z,-23.9918,-69.1954,91.14,4.5,,
2020-04-30T10:09:47.146Z,36.9622,28.5836,10,4.9,,
2020-04-30T09:23:12.372Z,-22.7794,-68.3475,148.74,5.4,,
2020-04-30T08:20:24.975Z,1.2211,99.5799,10,5,,
2020-04-30T04:45:00.275Z,-20.9882,-175.3087,10,4.7,,
2020-04-30T04:10:35.715Z,-2.9811,130.0352,10,4.6,,
2020-04-30T03:50:50.176Z,-23.7509,69.3823,10,4.9,,
2020-04-30T03:15:33.647Z,5.6912,-82.6451,10,4.8,,
2020-04-30T03:15:21.414Z,40.9219,142.7766,36.18,5.2,,
2020-04-30T02:06:03.489Z,-6.4147,154.465,10,4.5,,
2020-04-30T01:52:36.955Z,-0.056,123.7186,54.06,4.5,,
2020-04-29T21:50:44.410Z,-21.634,170.3256,60.43,4.6,,
2020-04-29T17:47:07.930Z,4.6331,127.007,61.8,4.8,,
2020-04-29T17:01:35.721Z,35.5681,45.0817,11.95,4.8,,
2020-04-29T16:04:31.191Z,-23.3157,-66.6642,191.14,4.9,,
2020-04-29T15:47:03.396Z,-17.4845,-173.6955,35.58,4.9,,
2020-04-29T14:01:18.307Z,-17.7915,-178.4887,585.56,4.6,,
2020-04-29T10:52:11.998Z,-23.7303,69.5295,10,4.9,,
2020-04-29T10:23:16.245Z,-5.2952,152.5129,35,5.1,,
2020-04-29T10:22:48.249Z,20.1691,-74.1685,10,4.5,,
2020-04-29T08:17:48.690Z,-4.5219,102.5046,56.38,4.8,,
2020-04-29T05:37:16.440Z,-24.3224,-67.1177,154.22,5.4,,
2020-04-29T04:08:30.265Z,10.6906,125.1804,10,4.6,,
2020-04-28T16:08:13.154Z,-19.5826,-173.0571,10,4.7,,
2020-04-28T13:15:30.222Z,42.0297,142.6084,53.98,4.5,,
2020-04-28T12:02:32.959Z,13.2013,-44.831,10,5.1,,
2020-04-28T11:20:25.081Z,-23.4012,-67.1132,218.33,4.5,,
2020-04-28T11:15:35.129Z,36.5428,70.5762,199.62,4.8,,
2020-04-28T09:06:07.264Z,-2.8207,-77.4507,10,4.6,,
2020-04-28T04:43:19.468Z,-6.9228,104.8399,35,4.6,,
2020-04-28T01:36:48.256Z,-6.7207,154.8392,10,4.6,,
2020-04-28T00:13:43.203Z,-16.3874,-172.9005,10,5.2,,
2020-04-27T23:18:14.988Z,1.5751,97.0459,29.03,4.5,,
2020-04-27T20:11:31.148Z,-6.6946,154.3331,10,4.5,,
2020-04-27T19:42:50.432Z,-51.6359,139.8777,10,4.5,,
2020-04-27T18:22:05.448Z,-31.3636,-178.0285,27.73,4.6,,
2020-04-27T13:39:19.333Z,-19.3984,-172.7278,10,4.7,,
2020-04-27T11:13:28.890Z,37.297,71.4437,137.95,4.6,,
2020-04-27T08:40:38.884Z,-3.276,151.6175,10,5.4,,
2020-04-27T04:13:26.194Z,52.7348,-176.0587,223.96,4.8,,
2020-04-27T03:24:07.991Z,-4.0234,151.4556,10,4.6,,
2020-04-27T02:16:38.564Z,17.9946,146.1397,100.32,4.6,,
2020-04-26T23:48:45.554Z,5.6464,126.8892,69.09,5.1,,
2020-04-26T22:52:11.323Z,-44.9326,167.5358,80.02,5.1,,
2020-04-26T22:28:10.386Z,-9.878,-75.1318,119.2,4.6,,
2020-04-26T15:50:00.942Z,-4.222,151.4017,10,4.5,,
2020-04-26T14:02:13.797Z,42.1306,144.9447,10,5,,
2020-04-26T13:43:57.853Z,-3.9656,151.3796,10,5.3,,
2020-04-26T09:09:32.757Z,-6.6754,147.9072,41.59,4.6,,
2020-04-26T07:52:53.354Z,-18.7427,-177.9146,616.46,4.6,,
2020-04-26T04:54:21.240Z,-13.2877,166.3915,10,4.8,,
2020-04-26T02:17:02.333Z,-18.2101,168.3241,10,4.6,,
2020-04-26T00:49:10.522Z,36.173,140.0771,73.24,4.9,,
2020-04-25T23:50:18.986Z,-37.3786,78.3788,10,4.5,,
2020-04-25T23:36:23.017Z,-34.4343,-178.9346,10,4.5,,
2020-04-25T22:27:58.017Z,6.5669,-82.3498,10,4.6,,
2020-04-25T21:47:50.006Z,-6.407,154.298,10,4.7,,
2020-04-25T21:05:08.033Z,-6.4187,154.505,10,4.6,,
2020-04-25T17:32:47.125Z,-5.9129,154.7648,164.21,4.5,,
2020-04-25T15:30:55.722Z,5.0245,-72.7449,60.56,4.7,,
2020-04-25T12:50:26.821Z,-15.4026,-173.221,10,4.5,,
2020-04-25T05:53:56.439Z,-27.8587,-71.4605,13.49,4.9,,
2020-04-25T03:52:13.967Z,-20.3781,39.815,10,4.5,,
2020-04-25T03:46:57.220Z,1.7796,66.8848,10,4.6,,
2020-04-25T03:01:01.486Z,-18.6492,-175.4332,226.64,5,,
2020-04-25T02:55:19.073Z,-6.5695,154.4903,10,5.4,,
2020-04-25T02:53:05.839Z,-6.5105,154.3008,16.85,6.3,,
2020-04-25T01:41:22.117Z,-17.9856,-177.8915,623.62,4.5,,
2020-04-25T00:40:36.765Z,-6.4231,129.3019,203.96,4.5,,
2020-04-24T22:32:50.431Z,37.5452,68.7379,10,4.8,,
2020-04-24T22:04:16.273Z,45.9075,27.4877,10,4.9,,
2020-04-24T18:44:24.065Z,-24.7471,179.9971,499.6,5,,
2020-04-24T15:01:28.694Z,37.6006,68.828,10,4.5,,
2020-04-24T13:16:03.994Z,35.9139,27.9487,57.73,4.9,,
2020-04-24T09:20:50.752Z,-6.3468,151.9074,10,4.5,,
2020-04-24T05:41:56.860Z,-19.7742,-126.5669,10,5.4,,
2020-04-24T05:15:24.964Z,23.9987,95.7849,41.08,4.5,,
2020-04-24T03:34:25.545Z,37.7723,68.5616,10,4.6,,
2020-04-24T00:30:35.727Z,13.8678,-93.098,13.18,5.4,,
2020-04-23T21:55:35.578Z,-14.8029,167.2934,83.71,4.8,,
2020-04-23T21:19:48.354Z,28.3152,129.5634,35,4.5,,
2020-04-23T20:04:12.198Z,-23.2567,-179.5159,531.42,4.6,,
2020-04-23T19:52:26.471Z,41.509,141.9289,53.34,5.2,,
2020-04-23T19:48:48.644Z,12.5516,-86.9854,144.25,4.6,,
2020-04-23T18:12:24.358Z,-56.2605,-141.7572,10,4.7,,
2020-04-23T17:59:14.679Z,-10.5516,165.9815,123.65,4.6,,
2020-04-23T15:32:17.710Z,46.5607,153.2307,14.63,4.9,,
2020-04-23T12:38:03.502Z,-22.0044,169.9935,10,4.6,,
2020-04-23T12:31:48.384Z,18.5819,145.7313,195.26,4.7,,
2020-04-23T09:04:42.368Z,28.5287,104.8824,10,4.9,,
2020-04-23T04:57:55.683Z,36.2232,137.6534,10,4.6,,
2020-04-23T04:44:23.106Z,36.1663,137.7785,10,5.2,,
2020-04-23T03:04:56.395Z,-15.8282,167.015,35,4.5,,
2020-04-22T23:19:33.527Z,-19.16,-173.4244,10,5,,
2020-04-22T22:31:25.770Z,-22.0834,-175.4957,39.6,5.5,,
2020-04-22T20:22:46.505Z,13.7263,51.6392,10,5.1,,
2020-04-22T19:53:45.791Z,52.2911,160.1669,40.66,4.6,,
2020-04-22T17:21:11.835Z,26.1401,128.6906,19.69,4.8,,
2020-04-22T13:00:29.043Z,-21.143,169.6037,82.54,5,,
2020-04-22T06:51:01.891Z,46.5429,153.4294,10,5.3,,
2020-04-22T04:37:35.219Z,52.6443,-34.5182,10,4.6,,
2020-04-22T03:56:11.461Z,-52.5847,27.6173,10,4.7,,
2020-04-22T03:19:57.302Z,13.8098,121.096,10,4.5,,
2020-04-21T23:24:37.768Z,39.3607,71.5363,10,4.7,,
2020-04-21T21:43:05.819Z,10.3837,125.2061,10,4.7,,
2020-04-21T18:43:47.046Z,-27.2824,-176.889,34.92,4.8,,
2020-04-21T16:44:36.643Z,-3.0464,136.2787,40.6,4.6,,
2020-04-21T15:21:16.176Z,-21.98,-179.4242,588.23,4.6,,
2020-04-21T13:41:50.273Z,-9.882,155.1836,10,4.6,,
2020-04-21T13:14:06.182Z,-6.2721,151.7691,10,4.9,,
2020-04-21T10:51:37.253Z,1.2335,126.3705,42.03,4.6,,
2020-04-21T10:30:11.026Z,-6.2888,151.8863,10,4.5,,
2020-04-21T10:08:00.036Z,-6.2761,151.7813,10,4.8,,
2020-04-21T09:22:05.807Z,-6.3178,151.6895,10,4.8,,
2020-04-21T04:52:45.862Z,7.2657,-80.8863,10,4.8,,
2020-04-21T04:11:49.371Z,-23.421,-179.5885,530.73,4.9,,
2020-04-21T01:04:15.939Z,-27.5057,-175.7704,10,4.5,,
2020-04-21T00:09:10.636Z,9.3687,92.9668,48.51,4.8,,
2020-04-20T23:47:34.819Z,-8.105,-74.4963,159.93,4.7,,
2020-04-20T23:16:20.514Z,52.8355,-169.5242,29.7,4.6,,
2020-04-20T20:13:02.168Z,-35.7227,-105.5744,10,4.5,,
2020-04-20T19:59:22.015Z,-8.526,159.2233,88.23,5.2,,
2020-04-20T18:38:41.812Z,-3.855,150.1293,7.59,4.7,,
2020-04-20T18:37:47.914Z,-28.9645,-68.3614,98.86,4.5,,
2020-04-20T18:37:15.268Z,-15.4809,-173.7045,71.77,4.6,,
