time,mag,latitude,longitude,depth,,
2020-05-12T02:23:10.000Z,2.45,18.9190006,-155.2138367,7.47,,
2020-05-12T02:23:01.510Z,0.55,33.506,-116.78,6.98,,
2020-05-12T02:18:52.860Z,1.5,37.4838333,-121.802002,8.3,,
2020-05-12T02:18:52.110Z,4.6,-54.1186,3.4161,10,,
2020-05-12T02:15:05.220Z,3.71,18.9326667,-155.2161667,10.17,,
2020-05-12T02:13:34.060Z,1.41,34.9825,-116.9356667,6.06,,
2020-05-12T02:12:51.330Z,2.68,18.8951664,-155.2353363,11.44,,
2020-05-12T02:10:50.761Z,1.1,60.1845,-151.3532,45.8,,
2020-05-12T02:07:16.690Z,0.68,36.0013351,-120.5615005,1.2,,
2020-05-12T02:03:07.730Z,3.03,18.9193333,-155.211,12.35,,
2020-05-12T02:00:56.532Z,3.1,44.3094,-114.9545,10,,
2020-05-12T01:52:11.690Z,3.31,18.9143333,-155.1885,10.78,,
2020-05-12T01:48:04.580Z,1.08,35.648,-117.5726667,12.64,,
2020-05-12T01:46:26.020Z,3.38,18.9166667,-155.1641667,6.01,,
2020-05-12T01:46:15.110Z,1.25,35.7241667,-117.5678333,10.05,,
2020-05-12T01:44:08.520Z,3.31,18.9345,-155.212,10.4,,
2020-05-12T01:44:05.670Z,2.71,19.044,-155.2446667,14.63,,
2020-05-12T01:39:36.379Z,1.3,61.442,-146.67,28.5,,
2020-05-12T01:35:28.110Z,0.81,35.9926682,-120.5533371,3.28,,
2020-05-12T01:34:38.450Z,2.56,18.9111671,-155.1629944,10.98,,
2020-05-12T01:25:42.700Z,3.11,18.9161667,-155.1991667,11.65,,
2020-05-12T01:20:07.640Z,2.74,18.9158333,-155.1636667,8.96,,
2020-05-12T01:19:11.501Z,1.3,61.5935,-149.6072,26.3,,
2020-05-12T01:15:12.580Z,2.02,18.8735,-155.201,10.96,,
2020-05-12T01:10:51.550Z,2.6,18.9130001,-155.2101593,11.11,,
2020-05-12T01:04:18.470Z,2.3,18.883667,-155.2113342,11.32,,
2020-05-12T01:00:58.940Z,2.37,18.8863333,-155.2128333,11.15,,
2020-05-12T00:58:47.190Z,2.33,18.8939991,-155.1918335,7.97,,
2020-05-12T00:55:49.140Z,1.67,18.889,-155.2163333,10.59,,
2020-05-12T00:49:40.400Z,2.12,19.3126659,-155.216507,2.54,,
2020-05-12T00:43:50.876Z,3.8,50.5361,-177.6619,10,,
2020-05-12T00:33:04.760Z,1.99,18.9015007,-155.2059937,6.62,,
2020-05-12T00:30:28.700Z,2.84,18.8723333,-155.2301667,11.35,,
2020-05-12T00:28:59.470Z,2.63,18.8995,-155.2251667,11.68,,
2020-05-12T00:25:33.330Z,1.2,60.1663,-152.4152,83.5,,
2020-05-12T00:18:55.350Z,2.01,18.8794994,-155.2148285,11.03,,
2020-05-12T00:16:24.490Z,2.58,18.8828333,-155.2063333,10.81,,
2020-05-12T00:08:19.010Z,3.26,18.8705,-155.2175,10.34,,
2020-05-12T00:05:08.720Z,1.01,33.495,-116.4925,8.57,,
2020-05-12T00:00:30.910Z,0.96,33.6858333,-116.7581667,14.18,,
2020-05-12T00:00:21.051Z,1.8,60.5228,-144.4649,0,,
2020-05-12T00:00:17.810Z,2.02,18.8665009,-155.2063293,6.76,,
2020-05-11T23:58:08.970Z,2.77,18.8756667,-155.2046667,8.98,,
2020-05-11T23:57:54.500Z,2.49,18.8905,-155.2141667,10.99,,
2020-05-11T23:49:13.750Z,2.46,18.892,-155.2368333,10.52,,
2020-05-11T23:48:41.900Z,1.61,18.8823333,-155.2185,10.8,,
2020-05-11T23:46:37.470Z,1.25,33.4946667,-116.782,3.53,,
2020-05-11T23:44:38.420Z,2.38,18.9133339,-155.2391663,6.51,,
2020-05-11T23:41:41.723Z,1.1,38.4648,-118.0669,9.2,,
2020-05-11T23:40:59.365Z,2.9,18.1845,-154.7654,10,,
2020-05-11T23:38:14.110Z,2.31,18.8908329,-155.2108307,7.44,,
2020-05-11T23:37:26.379Z,1.7,63.935,-148.8709,0,,
2020-05-11T23:36:36.720Z,1.4,59.9314,-138.9494,7.3,,
2020-05-11T23:35:19.200Z,0.57,38.8395004,-122.8379974,1.75,,
2020-05-11T23:33:43.380Z,2.28,18.8808327,-155.2181702,10.52,,
2020-05-11T23:29:36.130Z,2.98,18.8808333,-155.2166667,10.46,,
2020-05-11T23:27:31.460Z,2.21,18.9015007,-155.222168,11.37,,
2020-05-11T23:23:59.920Z,1.66,18.875,-155.2145,9.16,,
2020-05-11T23:23:48.623Z,4.3,-22.6914,-68.4065,109.21,,
2020-05-11T23:22:45.910Z,1.25,33.6798333,-116.7611667,14.29,,
2020-05-11T23:21:20.420Z,1.61,18.8796667,-155.2141667,10.84,,
2020-05-11T22:59:16.710Z,2.5,35.7126667,-117.551,3.8,,
2020-05-11T22:53:27.808Z,4.3,51.6684,-179.6683,96.91,,
2020-05-11T22:52:13.210Z,3.77,18.8755,-155.219,10.73,,
2020-05-11T22:42:55.257Z,2.8,69.0417,-144.7354,19.3,,
2020-05-11T22:39:41.291Z,0.9,65.3035,-157.1541,16.4,,
2020-05-11T22:39:35.490Z,4.7,24.8041,94.1072,63.32,,
2020-05-11T22:29:13.630Z,3.72,18.8706667,-155.2185,11.03,,
2020-05-11T22:28:58.519Z,0.8,65.2953,-157.1505,13.4,,
2020-05-11T22:28:41.420Z,2.24,18.84,-155.21,7.69,,
2020-05-11T22:20:07.380Z,0.29,46.24916667,-122.1003333,3.86,,
2020-05-11T22:13:04.720Z,0.75,36.0455017,-120.6103363,3.47,,
2020-05-11T22:12:05.000Z,0.91,33.4468333,-116.785,17.85,,
2020-05-11T22:05:25.710Z,0.13,37.6595,-118.8975,-1.16,,
2020-05-11T22:02:34.800Z,1.68,18.8636667,-155.1871667,9.14,,
2020-05-11T21:59:03.110Z,3.94,18.8766667,-155.2203333,10.95,,
2020-05-11T21:57:38.045Z,1.1,38.0905,-118.7562,8.4,,
2020-05-11T21:52:11.778Z,1.1,38.077,-118.7354,8.8,,
2020-05-11T21:48:12.130Z,1.17,33.012,-116.0243333,5.67,,
2020-05-11T21:44:49.650Z,1.08,38.8096657,-122.7939987,1.48,,
2020-05-11T21:40:14.610Z,2.75,18.9035,-155.2205,10.98,,
2020-05-11T21:36:44.311Z,1.1,60.2908,-141.1355,0,,
2020-05-11T21:36:35.070Z,1.72,42.2905,-124.656,10.65,,
2020-05-11T21:35:16.279Z,1.3,61.116,-150.3372,43.6,,
2020-05-11T21:28:29.811Z,3.2,31.6581,-104.325,5,,
2020-05-11T21:27:39.385Z,0.6,63.591,-150.8308,13.4,,
2020-05-11T21:27:01.860Z,1.87,44.3615,-115.1718333,5.84,,
2020-05-11T21:17:10.400Z,2.25,18.8678341,-155.1864929,10.39,,
2020-05-11T21:12:45.940Z,0.46,47.62233333,-121.7063333,24.87,,
2020-05-11T21:10:37.760Z,0.76,38.7678337,-122.7568359,-0.42,,
2020-05-11T21:09:42.770Z,2.06,19.4790001,-155.6049957,-1.6,,
2020-05-11T21:07:34.410Z,1.38,34.1848333,-116.9461667,9.39,,
2020-05-11T20:52:42.030Z,2.34,18.8476667,-155.1613333,9.33,,
2020-05-11T20:51:55.990Z,1.44,46.88483333,-122.0128333,7.36,,
2020-05-11T20:50:04.580Z,1.93,33.1571667,-115.9886667,6.03,,
2020-05-11T20:43:36.870Z,2.91,38.0063324,-118.699501,-0.36,,
2020-05-11T20:40:55.431Z,1.5,64.7555,-148.9237,13.1,,
2020-05-11T20:36:02.390Z,1.78,33.4906667,-116.7896667,5.55,,
2020-05-11T20:35:26.350Z,1.28,45.15,-122.4808333,-0.66,,
2020-05-11T20:33:13.620Z,2.42,18.8478336,-155.2140045,9.59,,
2020-05-11T20:26:07.410Z,3.52,38.0055,-118.7035,-1,,
2020-05-11T20:25:59.960Z,2.2,18.8630009,-155.2128296,10.3,,
2020-05-11T20:20:42.656Z,1.5,63.2012,-148.3294,65.2,,
2020-05-11T20:16:00.701Z,1.3,57.8,-155.6831,77.4,,
2020-05-11T20:14:54.000Z,2.29,18.9181671,-155.1713409,10.44,,
2020-05-11T20:11:03.010Z,0.92,34.1221667,-117.4868333,1.77,,
2020-05-11T20:09:38.660Z,1.71,35.6813333,-117.5103333,6.18,,
2020-05-11T20:00:44.090Z,1.2,59.0518,-152.3951,27.5,,
